id,name,artists,genre,popularity,duration_ms,features,detail
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,['The Smashing Pumpkins'],,76.0,,"{'tempo': 126.05, 'key': 5, 'mode': 0, 'key_confidence': 0.58, 'energy': 0.36, 'danceability': 0.43, 'valence': 0.5, 'instrumentalness': 0.77, 'acousticness': 0.93, 'loudness': 0.22, 'segments': {'count': 60, 'average_duration': 0.48}, 'beats': {'count': 60, 'regularity': 0.94}}",
482W93Yo8Pz0Z9KJNsMx7Z,Death Mask,['Death In Vegas'],,24.0,,"{'tempo': 129.2, 'key': 3, 'mode': 0, 'key_confidence': 0.71, 'energy': 0.29, 'danceability': 0.54, 'valence': 0.46, 'instrumentalness': 0.78, 'acousticness': 0.98, 'loudness': 0.35, 'segments': {'count': 32, 'average_duration': 0.46}, 'beats': {'count': 32, 'regularity': 0.95}}",
3lIxtCaROdRDuTnNBDm3n2,She's My Collar (feat. Kali Uchis),"['Gorillaz', 'Kali Uchis']",alternative,79.0,209560.0,"{'tempo': 139.67, 'key': 1, 'mode': 1, 'key_confidence': 0.7, 'energy': 0.33, 'danceability': 0.52, 'valence': 0.8, 'instrumentalness': 0.76, 'acousticness': 0.96, 'loudness': 0.26, 'segments': {'count': 64, 'average_duration': 0.43}, 'beats': {'count': 64, 'regularity': 0.97}}",
17dCSc5Vq1riorH10dNqAS,The Perfect Needle,['The Telescopes'],,31.0,,"{'tempo': 117.45, 'key': 9, 'mode': 0, 'key_confidence': 0.8, 'energy': 0.36, 'danceability': 0.41, 'valence': 0.49, 'instrumentalness': 0.73, 'acousticness': 0.97, 'loudness': 0.12, 'segments': {'count': 56, 'average_duration': 0.51}, 'beats': {'count': 56, 'regularity': 0.88}}",
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,['The Police'],rock,92.0,253920.0,"{'tempo': 117.45, 'key': 6, 'mode': 0, 'key_confidence': 0.6, 'energy': 0.34, 'danceability': 0.47, 'valence': 0.49, 'instrumentalness': 0.75, 'acousticness': 0.96, 'loudness': 0.2, 'segments': {'count': 55, 'average_duration': 0.51}, 'beats': {'count': 55, 'regularity': 0.94}}",
3J58Ccc5iTbCRnYx2xjo6d,Animal Instinct,['The Cranberries'],pop,68.0,211066.0,"{'tempo': 132.51, 'key': 7, 'mode': 1, 'key_confidence': 0.54, 'energy': 0.37, 'danceability': 0.5, 'valence': 0.8, 'instrumentalness': 0.75, 'acousticness': 0.93, 'loudness': 0.2, 'segments': {'count': 63, 'average_duration': 0.45}, 'beats': {'count': 63, 'regularity': 0.96}}",
0ubjNus6ut2BifiXQI7ZJD,Bungee Jump,"['Astrix', 'Captain Hook']",trance,48.0,518260.0,"{'tempo': 139.67, 'key': 4, 'mode': 0, 'key_confidence': 0.81, 'energy': 0.29, 'danceability': 0.51, 'valence': 0.5, 'instrumentalness': 0.78, 'acousticness': 0.95, 'loudness': 0.38, 'segments': {'count': 66, 'average_duration': 0.43}, 'beats': {'count': 66, 'regularity': 0.95}}",
4iVTSRiJAA18d3QglhyJ6Q,A Forest,['The Cure'],rock,70.0,354640.0,"{'tempo': 80.75, 'key': 4, 'mode': 1, 'key_confidence': 0.62, 'energy': 0.27, 'danceability': 0.4, 'valence': 0.67, 'instrumentalness': 0.8, 'acousticness': 0.97, 'loudness': 0.35, 'segments': {'count': 40, 'average_duration': 0.74}, 'beats': {'count': 40, 'regularity': 0.94}}",
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,['The Clash'],alternative,82.0,188986.0,"{'tempo': 112.35, 'key': 6, 'mode': 1, 'key_confidence': 0.53, 'energy': 0.35, 'danceability': 0.47, 'valence': 0.79, 'instrumentalness': 0.75, 'acousticness': 0.95, 'loudness': 0.19, 'segments': {'count': 54, 'average_duration': 0.53}, 'beats': {'count': 54, 'regularity': 0.93}}",
7xQYVjs4wZNdCwO0EeAWMC,Born Slippy (Nuxx),['Underworld'],electronic,71.0,456480.0,"{'tempo': 139.67, 'key': 10, 'mode': 0, 'key_confidence': 0.73, 'energy': 0.34, 'danceability': 0.5, 'valence': 0.5, 'instrumentalness': 0.77, 'acousticness': 0.93, 'loudness': 0.31, 'segments': {'count': 69, 'average_duration': 0.43}, 'beats': {'count': 69, 'regularity': 0.92}}",
3ix6K4wZY29bCujrSznwFZ,Let's Dance - 2018 Remaster,['David Bowie'],rock,74.0,,"{'tempo': 114.84, 'key': 5, 'mode': 0, 'key_confidence': 0.62, 'energy': 0.34, 'danceability': 0.44, 'valence': 0.49, 'instrumentalness': 0.76, 'acousticness': 0.96, 'loudness': 0.22, 'segments': {'count': 58, 'average_duration': 0.52}, 'beats': {'count': 58, 'regularity': 0.94}}",
0dpR8tDU4IIXexVsLOVoaM,世界が終わるまでは... (スラムダンク),['ジョバンニ'],,49.0,,"{'tempo': 103.36, 'key': 4, 'mode': 1, 'key_confidence': 0.51, 'energy': 0.36, 'danceability': 0.56, 'valence': 0.79, 'instrumentalness': 0.75, 'acousticness': 0.96, 'loudness': 0.16, 'segments': {'count': 20, 'average_duration': 0.58}, 'beats': {'count': 20, 'regularity': 0.95}}",
2Kx8eHVHUfBtvYNeJ8QFPW,"Thank you, my twilight",['the pillows'],indie,44.0,,"{'tempo': 143.55, 'key': 5, 'mode': 1, 'key_confidence': 0.54, 'energy': 0.37, 'danceability': 0.58, 'valence': 0.8, 'instrumentalness': 0.75, 'acousticness': 0.95, 'loudness': 0.18, 'segments': {'count': 36, 'average_duration': 0.42}, 'beats': {'count': 36, 'regularity': 0.92}}",
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"['Daft Punk', 'Guy-Manuel de Homem-Christo', 'Nile Rodgers', 'Pharrell Williams', 'Thomas Bangalter']",electro-house,82.0,248413.0,"{'tempo': 117.45, 'key': 9, 'mode': 1, 'key_confidence': 0.6, 'energy': 0.32, 'danceability': 0.46, 'valence': 0.8, 'instrumentalness': 0.78, 'acousticness': 0.93, 'loudness': 0.34, 'segments': {'count': 50, 'average_duration': 0.51}, 'beats': {'count': 50, 'regularity': 0.96}}",
3Q5YJa6lQdYMHfTu4WeKN3,Reverse Fall,['Phase Fatale'],techno,25.0,440669.0,"{'tempo': 129.2, 'key': 5, 'mode': 0, 'key_confidence': 0.84, 'energy': 0.29, 'danceability': 0.51, 'valence': 0.45, 'instrumentalness': 0.78, 'acousticness': 0.98, 'loudness': 0.39, 'segments': {'count': 60, 'average_duration': 0.46}, 'beats': {'count': 60, 'regularity': 0.95}}",
34gQgN4yLzHXXw1iWzbvxf,Mama Cita,['Blonde Redhead'],indie pop,22.0,201800.0,"{'tempo': 161.5, 'key': 9, 'mode': 0, 'key_confidence': 0.78, 'energy': 0.3, 'danceability': 0.49, 'valence': 0.36, 'instrumentalness': 0.78, 'acousticness': 0.97, 'loudness': 0.22, 'segments': {'count': 79, 'average_duration': 0.37}, 'beats': {'count': 79, 'regularity': 0.96}}",
0GEMAW2jerbxDFl5R8h12M,Show,"['Beth Gibbons', 'Rustin Man']",indie pop,37.0,266466.0,"{'tempo': 129.2, 'key': 1, 'mode': 0, 'key_confidence': 0.49, 'energy': 0.23, 'danceability': 0.43, 'valence': 0.3, 'instrumentalness': 0.81, 'acousticness': 0.98, 'loudness': 0.44, 'segments': {'count': 64, 'average_duration': 0.46}, 'beats': {'count': 64, 'regularity': 0.89}}",
2nWRUq0kYXQMlacRpwStOU,Daydreaming - Luv It Mix,"['Blacksmith', 'Massive Attack', 'Shara Nelson', 'Tricky']",trip-hop,16.0,327906.0,"{'tempo': 129.2, 'key': 0, 'mode': 0, 'key_confidence': 0.82, 'energy': 0.29, 'danceability': 0.46, 'valence': 0.5, 'instrumentalness': 0.8, 'acousticness': 0.95, 'loudness': 0.41, 'segments': {'count': 60, 'average_duration': 0.46}, 'beats': {'count': 60, 'regularity': 0.9}}",
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,['The Strokes'],alternative,83.0,309053.0,"{'tempo': 166.71, 'key': 5, 'mode': 1, 'key_confidence': 0.54, 'energy': 0.34, 'danceability': 0.48, 'valence': 0.81, 'instrumentalness': 0.75, 'acousticness': 0.96, 'loudness': 0.26, 'segments': {'count': 78, 'average_duration': 0.36}, 'beats': {'count': 78, 'regularity': 0.97}}",
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,['Duran Duran'],dance,77.0,220626.0,"{'tempo': 126.05, 'key': 0, 'mode': 1, 'key_confidence': 0.53, 'energy': 0.38, 'danceability': 0.4, 'valence': 0.8, 'instrumentalness': 0.75, 'acousticness': 0.92, 'loudness': 0.17, 'segments': {'count': 62, 'average_duration': 0.48}, 'beats': {'count': 62, 'regularity': 0.93}}",
