genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,34.0,,178.21,5.0,0.0,0.57,0.37,0.49,0.51,0.72,0.94,0.18,87.0,0.34,87.0,0.96,Angry/Frustrated
rock,53.0,207000.0,97.51,11.0,1.0,0.63,0.38,0.37,0.79,0.74,0.94,0.16,47.0,0.62,47.0,0.9,Happy/Excited
j-rock,48.0,,143.55,4.0,1.0,0.57,0.36,0.48,0.8,0.74,0.95,0.19,68.0,0.42,68.0,0.9,Happy/Excited
j-rock,46.0,,99.38,8.0,0.0,0.58,0.4,0.42,0.49,0.73,0.93,0.12,47.0,0.6,47.0,0.93,Happy/Excited
,37.0,,112.35,3.0,0.0,0.55,0.38,0.46,0.49,0.74,0.95,0.14,47.0,0.53,47.0,0.96,Relax/Chill
,37.0,,79.51,4.0,1.0,0.66,0.39,0.36,0.78,0.73,0.94,0.12,40.0,0.75,40.0,0.88,Happy/Excited
j-rock,47.0,178520.0,109.96,8.0,0.0,0.59,0.41,0.41,0.5,0.73,0.92,0.06,50.0,0.55,50.0,0.87,Happy/Excited
j-rock,45.0,151253.0,107.67,9.0,0.0,0.66,0.4,0.36,0.49,0.73,0.94,0.12,52.0,0.56,52.0,0.95,Happy/Excited
j-rock,46.0,160306.0,99.38,1.0,0.0,0.67,0.38,0.38,0.49,0.73,0.95,0.14,47.0,0.6,47.0,0.91,Happy/Excited
rock,52.0,177746.0,139.67,7.0,1.0,0.59,0.34,0.49,0.8,0.76,0.95,0.24,62.0,0.43,62.0,0.94,Happy/Excited
,51.0,,99.38,10.0,0.0,0.56,0.3,0.46,0.39,0.77,0.98,0.25,48.0,0.6,48.0,0.92,Happy/Excited
rock,52.0,182726.0,129.2,6.0,1.0,0.58,0.33,0.43,0.8,0.77,0.95,0.29,64.0,0.46,64.0,0.94,Happy/Excited
j-rock,49.0,153946.0,139.67,2.0,1.0,0.58,0.36,0.44,0.8,0.75,0.96,0.2,69.0,0.43,69.0,0.9,Relax/Chill
rock,52.0,195293.0,123.05,11.0,1.0,0.58,0.32,0.43,0.8,0.76,0.95,0.28,61.0,0.49,61.0,0.94,Happy/Excited
